Country Name En,Unit Name,2024 value,2024 flag,2023 value,2023 flag,2022 value,2022 flag,2021 value,2021 flag,2020 value,2020 flag
Thailand,Tonnes - live weight,1542786.61,A,1466165.62,A,1385491.33,A,1412123.25,A,1588859.33,E
Timor-Leste,Tonnes - live weight,7875.81,A,6491.57,A,6554.39,A,6126.94,A,6930.95,A
Togo,Tonnes - live weight,20322.521,A,22236.934,A,21506.503,A,17984.0,A,18034.0,A
Tokelau,Tonnes - live weight,96.0,A,69.0,A,38.0,E,70.0,A,70.0,A
Tonga,Tonnes - live weight,1119.9,E,1137.67,E,1324.111,E,1114.83,E,1096.161,E
Trinidad and Tobago,Tonnes - live weight,12938.074,E,13111.316,E,13069.012,A,13084.169,A,12912.669,A
Tunisia,Tonnes - live weight,86030.0,A,107824.333,A,112282.321,A,102805.199,A,104511.291,A
T�rkiye,Tonnes - live weight,355994.5,A,454058.6,A,335002.9,A,328158.0,A,364399.8,A
Turkmenistan,Tonnes - live weight,15955.0,E,15210.0,E,15097.0,E,15042.0,E,14605.0,E
Turks and Caicos Islands,Tonnes - live weight,2306.0,A,2358.7,A,3241.0,A,2277.0,A,1297.0,A
Tuvalu,Tonnes - live weight,45442.0,A,49000.0,A,42781.0,A,33935.087,A,11295.0,A
Uganda,Tonnes - live weight,538160.0,A,716513.0,A,444935.0,A,634594.96,A,578684.0,A
Ukraine,Tonnes - live weight,34914.349,E,28518.392,A,23186.41,A,63047.578,A,69467.125,A
United Arab Emirates,Tonnes - live weight,58165.0,E,59445.0,A,65422.0,A,67944.0,A,71388.0,A
United Kingdom of Great Britain and Northern Ireland,Tonnes - live weight,755323.079,A,717353.744,A,621748.233,A,635572.808,A,627472.128,A
United Republic of Tanzania,Number,30.0,A,10.0,A,33.0,A,1345.0,A,1243.0,A
United Republic of Tanzania,Tonnes - live weight,530902.607,A,481367.043,A,472892.761,A,477775.425,A,472951.163,A
"United Republic of Tanzania, Zanzibar",Tonnes - live weight,38930.0,E,38985.0,A,38650.0,E,36800.0,E,38105.0,A
United States of America,Number,451846.0,A,467768.0,A,559855.5,A,411991.0,A,424024.0,A
United States of America,Tonnes - live weight,3761934.0,A,4182039.0,A,4141525.0,A,4313325.0,A,4266949.0,A
United States Virgin Islands,Tonnes - live weight,493.84,E,435.364,A,414.152,A,420.141,A,355.269,A
Uruguay,Number,0.0,A,0.0,A,,,,,,
Uruguay,Tonnes - live weight,48354.921,A,67098.545,A,68958.898,A,66300.607,A,62879.956,A
Uzbekistan,Tonnes - live weight,43613.228,E,50708.468,E,42319.785,E,40216.496,E,46100.002,E
Vanuatu,Tonnes - live weight,44422.051,A,69321.451,A,85871.245,A,73389.907,A,64946.757,A
Venezuela (Bolivarian Republic of),Tonnes - live weight,202663.118,E,184402.57,E,192596.464,E,203072.236,E,196843.442,E
Viet Nam,Tonnes - live weight,3433838.54,A,3435922.09,E,3456797.93,E,3540250.15,E,3506056.76,E
Wallis and Futuna Islands,Tonnes - live weight,147.99,A,138.305,A,204.326,A,264.0,A,263.8,A
Yemen,Tonnes - live weight,152430.0,E,151016.469,A,150470.0,E,149530.0,E,144516.513,E
Zambia,Number,14963.0,A,16201.0,A,8266.5,A,13115.0,A,22767.0,A
Zambia,Tonnes - live weight,108000.0,E,102225.0,E,109428.0,A,105125.0,A,106836.0,A
Zimbabwe,Number,78607.0,A,65787.0,A,76204.5,A,87460.0,A,76479.0,A
Zimbabwe,Tonnes - live weight,26299.0,A,26218.0,A,26161.0,A,22734.0,A,26671.559,A
Iceland,Number,,,24.0,A,148.0,A,1.0,A,3.0,A
Spain,Number,,,1.0,A,25.0,A,12.0,A,10.0,A
